Unnamed: 0,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",affiliation,lab_size,Highest_degree,Degree_area,Publication Rate,Other Journals Published In,duration of Career(Years)
12,"Akrem Abdulsid, Alexander Fletcher, Fiona Lyall",Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1371/journal.pone.0071127,2013,8-Aug,,,,1,reuse of 2 bands multiple times to create blot panel,1,,1.0,,,1,"University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom",3,PhD,N/A,1.0,6,6
13,"Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc",DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",10.1371/journal.pone.0084982,2014,1-Jan,,,1.0,,"duplicated, and mirrored blots",1,9/15/2014,,1.0,,1,"Departments of Medicine, Biochemistry and Molecular Biology, Indiana University School of Medicine, The Melvin and Bren Simon Cancer Center and the Center for Pancreatic Cancer Research, Indianapolis, Indiana, United States of America",4,,Biology,1.3333333333333333,4,3
14,"Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi",Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,"PLOS One, January 2014 | Volume 9 | Issue 1 | e86342",10.1371/journal.pone.0086342,2014,1-Jan,,1.0,,,duplicated (negative) western blot,1,5/6/2015,,1.0,,1,"National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea",8,,N/A,0.8333333333333334,10,12
15,"Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy",Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,"PLOS One, January 2014 | Volume 9 | Issue 1 | e87003",10.1371/journal.pone.0087003,2014,1-Jan,,,1.0,,"duplicated, and stretched blot",1,4/22/2015,,1.0,,1,"Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America",9,,N/A,0.5,10,20
16,"Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko",Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,"PLOS One, February 2014 | Volume 9 | Issue 2 | e89546",10.1371/journal.pone.0089546,2014,2-Feb,1.0,,1.0,,"Duplicated, and shifted GAPDH gel panel",1,7/28/2014,,1.0,,1,"Blood Transfusion Centre of Slovenia, Ljubljana, Slovenia",8,PhD,N/A,1.2222222222222223,11,9
17,"Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li",Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,"PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",10.1371/journal.pone.0090318,2014,2-Feb,,,1.0,,Mirrored blot panels representing different proteins,1,7/25/2016,1.0,,,1,"Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China",8,,Biology,1.625,13,8
18,"Christophe Broca,  Elodie Varin, Mathieu Armanet, CÅ½cile Tourrel-Cuzin, Domenico Bosco,  StÅ½phane Dalle, Anne Wojtusciszyn",Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066",10.1371/journal.pone.0092066,2014,3-Mar,,,1.0,,duplicated/reused actin blot panels,1,7/7/2014,,1.0,,1,"CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France",7,,N/A,1.1111111111111112,20,18
19,"Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis",DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,"PLOS One, March 2014 | Volume 9 | Issue 3 | e92305",10.1371/journal.pone.0092305,2014,3-Mar,,,1.0,,Duplicated lanes within different panels - but representing same conditions,1,8/18/2014,,1.0,,1,"Department of Pharmacology, National Medicines Institute, Warsaw, Poland",3,PhD,Medicine,1.5,3,2
20,"Takaharu Nakayoshi, Ken-ichiro Sasaki, Hidemi Kajimoto, Hiroshi Koiwaya, Masanori Ohtsuka, Takafumi Ueno, Hidetoshi Chibana, Naoki Itaya, Masahiro Sasaki, Shinji Yokoyama, Yoshihiro Fukumoto, Tsutomu Imaizumi",FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626",10.1371/journal.pone.0092626,2014,3-Mar,,,1.0,,Mirrored microscopy image,1,4/27/2015,,1.0,,1,"Division of Cardio-Vascular Medicine, Department of Internal Medicine, Kurume University School of Medicine, Fukuoka, Japan",12,,N/A,4.333333333333333,26,6
21,"Yuri Churin, Martin Roderfeld, Johannes Stiefel, Tilman Wu r_ ger, Dirk Schro __ er, Tomomitsu Matono, Hans-Joachim Mollenkopf, Roberta Montalbano, Malvika Pompaiah, Kurt Reifenberg5, Daniel Zahner, Matthias Ocker, Wolfram Gerlich, Dieter Glebe, Elke Roeb",Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,"PLOS One, March 2014 | Volume 9 | Issue 3 | e90608",10.1371/journal.pone.0090608,2014,3-Mar,1.0,1.0,,,"Duplicated actin blot panel but different experiments, cuts in panels",1,5/1/2015,,1.0,,1,"Department of Gastroenterology, Justus Liebig University, Giessen, Germany",15,Doctor of Philosophy,N/A,1.3333333333333333,28,21
22,"Chuan Li, Cheng Wang, Lingxue Meng, Jiewen Xing, Tianya Wang, Hua Yang, Yingyin Yao, Huiru Peng, Zhaorong Hu, Qixin Sun, Zhongfu Ni",Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,"PLOS One, April 2014 | Volume 9 | Issue 4 | e94830",10.1371/journal.pone.0094830,2014,04April,,,,1,"Manipulated plant images, duplication of seeds, manipulated leaves",1,5/12/2016,1.0,,,1,"State Key Laboratory for Agrobiotechnology and Key Laboratory of Crop Heterosis and Utilization (MOE), Beijing Key Laboratory of Crop Genetic Improvement, China Agricultural University, Beijing, China",11,,Biology,1.5,3,2
23,"Gail Doughton, Jun Wei, Nicolas Tapon, Melanie J. Welham, Andrew D. Chalmers",Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95434",10.1371/journal.pone.0095434,2014,04April,,,1.0,,"Duplicated compressed blots, overlapping microscopy",1,,,1.0,,1,"Department of Biology and Biochemistry and the Centre for Regenerative Medicine, University of Bath, Bath, United Kingdom",5,,N/A,0.5,5,10
24,"Liliana O. Rocha, Sabina Moser Tralamazza, Gabriela M. Reis, Leon Rabinovitch, Cynara B. Barbosa, Benedito Corre_a",Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki,"PLOS One, April 2014 | Volume 9 | Issue 4 | e92189",10.1371/journal.pone.0092189,2014,04April,,1.0,,,Duplicated FACS panels,1,8/12/2014,,1.0,,1,"Department of Microbiology, Laboratory of Mycotoxins and Toxigenic Fungi, University of São Paulo, São Paulo, São Paulo, Brazil",6,PhD in Microbiology,N/A,3.4,17,5
25,"Prabuddha Dey, Monami Chakraborty, Maulik R. Kamdar, Mrinal K. Maiti",Functional Characterization of Two Structurally Novel Diacylglycerol Acyltransferase2 Isozymes Responsible for the Enhanced Production of Stearate-Rich Storage Lipid in Candida tropicalis SY005,"PLOS One, 14 April 2014 | Volume 9 | Issue 4 | e94472",10.1371/journal.pone.0094472,2014,04April,,,,1,"Duplicated cells within microscopy panels, multiple cases, duplicated blots",1,,1.0,,,1,"Advanced Laboratory for Plant Genetic Engineering, Advanced Technology Development Centre, Indian Institute of Technology Kharagpur, Kharagpur, India",4,,Biology,1.5714285714285714,11,7
26,"Xiaomei Ge, Yafei Zhang, Sungwon Park, Xiaofei Cong, David E. Gerrard, Honglin Jiang",Stac3 Inhibits Myoblast Differentiation into Myotubes,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95926",10.1371/journal.pone.0095926,2014,04April,,1.0,,,Duplicated microscopy images,1,8/7/2014,,1.0,,1,"Department of Animal and Poultry Sciences, Virginia Tech, Blacksburg, Virginia, United States of America",6,PhD,Biology,1.3333333333333333,8,6
27,"Xudong Shi, Daniel DiRenzo, Lian-Wang Guo, Sarah R. Franco, Bowen Wang, Stephen Seedial, K. Craig Kent",TGF-b/Smad3 Stimulates Stem Cell/Developmental Gene Expression and Vascular Smooth Muscle Cell De-Differentiation,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93995",10.1371/journal.pone.0093995,2014,04April,,1.0,,,Duplicated blot panels,1,7/22/2014,,1.0,,1,"Department of Surgery, University of Wisconsin Hospital and Clinics, Madison, Wisconsin, United States of America",7,MD,N/A,7.777777777777778,70,9
28,"Yushen Jiang, Tang Jiang, Juan Ouyang, Qingsong Zhou, Yanlan Liang, Yingpeng Cui, Peisong Chen, Bin Huang",Cell Atavistic Transition: Paired Box 2 Re-Expression Occurs in Mature Tubular Epithelial Cells during Acute Kidney Injury and Is Regulated by Angiotensin II,"PLOS One, April 2014 | Volume 9 | Issue 4 | e93563",10.1371/journal.pone.0093563,2014,04April,,1.0,,,Duplicated gel panels,1,5/6/2015,,1.0,,1,"Department of Laboratory Medicine, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangdong, China",8,,Medicine,1.0,2,2
29,"Ambrish Kumar, Daping Fan, Donald J. DiPette, Ugra S. Singh","Sparstolonin B, a Novel Plant Derived Compound, Arrests Cell Cycle and Induces Apoptosis in N-Myc Amplified and N-Myc Nonamplified Neuroblastoma Cells","PLOS ONE, May 2014 | Volume 9 | Issue 5 | e96343",10.1371/journal.pone.0096343,2014,5-May,,1.0,,,Duplicated microscopy images,1,7/6/2016,,1.0,,1,"Department of Pathology, Microbiology and Immunology, School of Medicine, University of South Carolina, Columbia, South Carolina, United States of America",4,,N/A,4.4,44,10
30,"Bo Gao, Qiang Huang, Yan-Shui Lin, Bo-Yuan Wei, Yun-Shan Guo, Zhen Sun, Long Wang, Jing Fan, Hong-Yang Zhang, Yue-Hu Han, Xiao-Jie Li, Jun Shi, Jian Liu, Liu Yang, Zhuo-Jing Luo",Dose-Dependent Effect of Estrogen Suppresses the Osteo-Adipogenic Transdifferentiation of Osteoblasts via Canonical Wnt Signaling Pathway,"PLoS ONE 9(6): e99137, June 11, 2014. doi:10.1371/journal.pone.0099137",10.1371/journal.pone.0099137,2014,6-Jun,,,1.0,,"Duplicated, and stretched microscopy images, multiple cases",1,12/2/2014,,1.0,,1,"Institute of Orthopedic Surgery, Xijing Hospital, Fourth Military Medical University, Xi’an, People’s Republic of China",15,,Biology,0.42857142857142855,3,7
31,"Yang Liu, Yuanyuan Liu, Chao Sun, Lu Gan, Luwei Zhang, Aihong Mao, Yuting Du, Rong Zhou, Hong Zhang",Carbon Ion Radiation Inhibits Glioma and Endothelial Cell Migration Induced by Secreted VEGF,"PLOS ONE, June 2014 | Volume 9 | Issue 6 | e98448",10.1371/journal.pone.0098448,2014,6-Jun,,,1.0,,Overlapping microscopy images,1,8/7/2015,,1.0,,1,"Department of Radiation Medicine, Institute of Modern physics, Chinese Academy of Sciences, Lanzhou, China",9,,N/A,42.857142857142854,300,7
32,"Manasa K. Nayak, Ayusman Dash, Nitesh Singh, Debabrata Dash",Aspirin Delimits Platelet Life Span by Proteasomal Inhibition,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e105049, doi: 10.1371/journal.pone.0105049",10.1371/journal.pone.0105049,2014,8-Aug,,,,1,Duplicated set of lanes within the same panel,1,12/12/2014,,1.0,,1,"Department of Biochemistry, Institute of Medical Sciences, Banaras Hindu University, Varanasi, India",4,MSc.,N/A,3.857142857142857,27,7
33,"Wasia Rizwani, Aneesa Fasim, Deepshikha Sharma, Divya J. Reddy, Nabil A. M. Bin Omar, Surya S. Singh",S137 Phosphorylation of Profilin 1 Is an Important Signaling Event in Breast Cancer Progression,"PLOS ONE, August 2014 | Volume 9 | Issue 8 | e103868",10.1371/journal.pone.0103868,2014,8-Aug,,1.0,,,Duplicated microscopy panels,1,11/18/2014,,1.0,,1,"Department of Biochemistry, Osmania University, Hyderabad, A.P., India",6,PhD,N/A,1.8571428571428572,13,7
34,"Shiuan Wang, Kai Li Tan, Melina A. Agosto, Bo Xiong, Shinya Yamamoto, Hector Sandoval, Manish Jaiswal, Vafa Bayat, Ke Zhang, Wu-Lin Charng, Gabriela David, Lita Duraine, Kartik Venkatachalam, Theodore G. Wensel, Hugo J. Bellen",The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,"PLOS Biology, April 2014 | Volume 12 | Issue 4 | e1001847",10.1371/journal.pbio.1001847,2014,04April,,1.0,,,duplicated microscopy panels,1,5/28/2015,,1.0,,1,"Program in Developmental Biology, Baylor College of Medicine, Houston, Texas, United States of America",15,BSc in Pharmacy,N/A,0.875,7,8
35,"Apiruck Watthanasurorot, Netnapa Saelee, Amornrat Phongdara, Sittiruk Roytrakul, Pikul Jiravanichpaisal, Kenneth So_derhÅ ll, Irene SÅ¡derhÅ llGab",Astakine 2Åthe Dark Knight Linking Melatonin to Circadian Regulation in Crustaceans,"PLOS Genetics, March 2013 | Volume 9 | Issue 3 | e1003361, doi:10.1371/journal.pgen.1003361",10.1371/journal.pgen.1003361,2013,3-Mar,,,,1,"multiple cases of shifted blots, duplicated bands within blots",1,4/27/2015,1.0,,,1,"Department of Comparative Physiology, Uppsala University, Uppsala, Sweden",7,,N/A,2.0,12,6
36,"Dawn E. Watkins-Chow, Joanna Cooke, Ruth Pidsley, Andrew Edwards, Rebecca Slotkin, Karen E. Leeds, Raymond Mullen, Laura L. Baxter, Thomas G. Campbell, Marion C. Salzer, Laura Biondini, Gretchen Gibney, Franc _oise Phan Dinh Tuy, Jamel Chelly, H. Douglas Morris, Johannes Riegler, Mark F. Lythgoe, Ruth M. Arkell, Fabrizio Loreni, Jonathan Flint, William J. Pavan, David A. Keays",Mutation of the Diamond-Blackfan Anemia Gene Rps7 in Mouse Results in Morphological and Neuroanatomical Phenotypes,"PLOS Genetics, January 2013 | Volume 9 | Issue 1 | e1003094",10.1371/journal.pgen.1003094,2013,1-Jan,,1.0,,,duplicated microscopy panels,1,11/19/2015,,1.0,,1,"National Human Genome Research Institute, National Institutes of Health, Bethesda, Maryland, United States of America",22,,N/A,3.25,26,8
37,"Erica P. Homan, Caressa Lietman, Ingo Grafe, Jennifer Lennington, Roy Morello, Dobrawa Napierala, Ming-Ming Jiang, Elda M. Munivez, Brian Dawson, Terry K. Bertin, Yuqing Chen, Rhonald Lua, Olivier Lichtarge, John Hicks, Mary Ann Weis, David Eyre, Brendan H. L. Lee",Differential Effects of Collagen Prolyl 3-Hydroxylation on Skeletal Tissues,"PLOS Genetics, January 23, 2014DOI: 10.1371",10.1371/journal.pgen.1004121,2014,1-Jan,,1.0,,,duplicated western blot panels,1,6/3/2014,,1.0,,1,"Department of Molecular and Human Genetics, Baylor College of Medicine, Houston, Texas, United States of America",17,PhD,N/A,1.0769230769230769,14,13
38,"Natalia Lopez-del Hoyo, Santiago Lopez-Begines, Jose Luis Rosa, Jeannie Chen, Ana Mendez",Functional EF-Hands in Neuronal Calcium Sensor GCAP2 Determine Its Phosphorylation State and Subcellular Distribution In Vivo and Are Essential for Photoreceptor Cell Integrity,"PLOS Genetics, July 2014 | Volume 10 | Issue 7 | e1004480",10.1371/journal.pgen.1004480,2014,7-Jul,,1.0,,,duplicated microscopy panels,1,10/17/2014,,1.0,,1,"Bellvitge Biomedical Research Institute (IDIBELL), Barcelona, Spain",5,,N/A,0.6666666666666666,2,3
39,"Cathleen D. Valentine, Marc O. Anderson, Feroz R. Papa, Peter M. Haggie",X-Box Binding Protein 1 (XBP1s) Is a Critical Determinant of Pseudomonas aeruginosa Homoserine Lactone-Mediated Apoptosis,"PLOS Pathogens, August 2013 | Volume 9 | Issue 8 | e1003576",10.1371/journal.ppat.1003576,2013,8-Aug,,1.0,,,Duplicated microscopy panels,1,5/19/2016,,1.0,,1,"Department of Nephrology, University of California, San Francisco, San Francisco, California, United States of America",4,,Biology,1.2222222222222223,22,18
40,"Shipan Dai, Murugesan V. S. Rajaram, Heather M. Curry, Rachel Leander, Larry S. Schlesinger",Fine Tuning Inflammation at the Front Door: Macrophage Complement Receptor 3-mediates Phagocytosis and Immune Suppression for Francisella tularensis,"PLOS Pathogens, January 2013 | Volume 9 | Issue 1 | e1003114",10.1371/journal.ppat.1003114,2013,1-Jan,,,,1,"Duplicated or mirrored blot panels, or lanes within blots",1,3/9/2016,,1.0,,1,"Center for Microbial Interface Biology, Department of Microbial Infection and Immunity, The Ohio State University, Columbus, Ohio, United States of America",5,Ph.D,Biology,1.8571428571428572,13,7
41,"Vicente Ramârez,  Ana Lâpez, Brigitte Mauch-Mani, Ma JosÅ½ Gil, Pablo Vera_",An Extracellular Subtilase Switch for Immune Priming in Arabidopsis,"PLOS Pathogens, June 2013 | Volume 9 | Issue 6 | e1003445",10.1371/journal.ppat.1003445,2013,6-Jun,,,1.0,,"Duplicated/stretched images of a leaf, duplicated gel panels",1,11/2/2016,,1.0,,1,"Instituto de Biología Molecular y Celular de Plantas, Universidad Politécnica de Valencia-C.S.I.C, Ciudad Politécnica de la Innovación, Valencia, Spain",5,,N/A,1,1,1
42,"Haitao Wei, Song Wang, Qinghuang Chen, Yuhai Chen, Xiaojuan Chi, Lianfeng Zhang, Shile Huang, George F. Gao, Ji-Long Chen",Suppression of Interferon Lambda Signaling by SOCS-1 Results in Their Excessive Production during Influenza Virus Infection,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003845",10.1371/journal.ppat.1003845,2014,1-Jan,,,1.0,,"Duplicated blot panels, shifted",1,1/14/2016,,1.0,,1,"CAS Key Laboratory of Pathogenic Microbiology and Immunology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China",9,,Biology,1.3,13,10
43,"Meleri Jones, Inga R. Dry, Dan Frampton, Manuraj Singh, Ravinder K. Kanda, Michael B. Yee, Paul Kellam, Michael Hollinshead, Paul R. Kinchington, Edel A. OÅToole, Judith Breuer ",RNA-seq Analysis of Host and Viral Gene Expression Highlights Interaction between Varicella Zoster Virus and Keratinocyte Differentiation,"PLOS Pathogens, January 2014 | Volume 10 | Issue 1 | e1003896",10.1371/journal.ppat.1003896,2014,1-Jan,,,1.0,,Duplicated shifted blot panel,1,7/22/2014,,1.0,,1,"Division of Infection and Immunity, University College London, London, United Kingdom",11,,N/A,10.0,30,3
44,"Miti Jearaphunt, Chadanat Noonin, Pikul Jiravanichpaisal, Seiko Nakamura, Anchalee Tassanakajon, Irene So_derhÅ ll, Kenneth SÅ¡derhÅ llati",Caspase-1-Like Regulation of the proPO-System and Role of ppA and Caspase-1-Like Cleaved Peptides from proPO in Innate Immunity,"PLOS Pathogens 2014, April 2014 | Volume 10 | Issue 4 | e1004059, doi:10.1371/journal.ppat.1004059",10.1371/journal.ppat.1004059,2014,04April,,1.0,,,Duplicated microscopy panels,1,5/20/2016,,1.0,,1,"Department of Comparative Physiology, Uppsala University, Uppsala, Sweden",7,,N/A,0.5,4,8
