,Unnamed: 0,Authors,Title,Citation,DOI,Year,Month,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",affiliation,lab_size,Highest_degree,Degree_area,Publication Rate,Other Journals Published In,duration of Career(Years),DOI,Title,Creator/Author,Journal Name,Sponsoring Org.,NAME,ADDRESS,STATE,COUNTRY,COUNTY,SOURCE,WEBSITE,UNI_RANKS,UNI_NAMES,UNI_AREAS
10,10.0,"Yan Zhang, Lei Shan, Yaping Hua, Dan Wang, Huawu Zeng, Runhui Liu, Weidong Zhang, Zhenlin Hu",Baicalein Selectively Induces Apoptosis in Activated Lymphocytes and Ameliorates Concanavalin A-Induced Hepatitis in Mice,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69592",10.1371/journal.pone.0069592,2013.0,7-Jul,,,1.0,,two sets of duplicated facs panels but different percentages gated points,1,01/26/2015,,1.0,,1.0,"School of Pharmacy, Second Military Medical University, Shanghai, China",8.0,,,60.0,300.0,5.0,https://doi.org/10.1371/journal.pcbi.1009492,Constructing benchmark test sets for biological sequence analysis using independent set algorithms,"Petti, Samantha; Eddy, Sean R.",PLOS Computational Biology,National Science Foundation,UNIVERSITY OF MARYLAND GLOBAL CAMPUS,3501 UNIVERSITY BLVD EAST,MD,USA,PRINCE GEORGE'S,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=163204,www.umuc.edu,11,National University of Singapore (NUS),Asia
11,11.0,"Zhongpu Chen, Xiaodong Pan, Yuyu Yao, Fengdi Yan, Long Chen, Rong Huang, Genshan Ma",Epigenetic Regulation of Cardiac Progenitor Cells Marker c-kit by Stromal Cell Derived Factor-1a,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69134, doi:10.1371/journal.pone.0069134",10.1371/journal.pone.0069134,2013.0,7-Jul,,,1.0,,overlapping microscopy images,1,7/23/2014,,1.0,,1.0,"Department of Cardiology, Zhongda Hospital, Medical School of Southeast University, Nanjing, Jiangsu, China",7.0,,,3.4,17.0,5.0,https://doi.org/10.1371/journal.pbio.3001602,RNA Pol IV induces antagonistic parent-of-origin effects on Arabidopsis endosperm,"Satyaki, Prasad R.; Gehring, Mary",PLOS Biology,National Science Foundation,STUDIO BEAUTY SCHOOL,10001 E SPRAGUE AVE,WA,USA,SPOKANE,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=485476,www.studiobeautyschool.com,12,"Nanyang Technological University, Singapore (NTU)",Asia
12,12.0,"Akrem Abdulsid, Alexander Fletcher, Fiona Lyall",Heat Shock Protein 27 Is Spatially Distributed in the Human Placenta and Decreased during Labor,"PLOS ONE, August 2013 | Volume 8 | Issue 8 | e71127",10.1371/journal.pone.0071127,2013.0,8-Aug,,,,1,reuse of 2 bands multiple times to create blot panel,1,,1.0,,,1.0,"University of Glasgow School of Medicine, Institute of Medical Genetics, Yorkhill Hospital, Glasgow, United Kingdom",3.0,PhD,,1.2,6.0,5.0,https://doi.org/10.1371/journal.pcbi.1010105,A generalized Flory-Stockmayer kinetic theory of connectivity percolation and rigidity percolation of cytoskeletal networks,"Bueno, Carlos; Liman, James; Schafer, Nicholas P.; Cheung, Margaret S.; Wolynes, Peter G.",PLOS Computational Biology,National Science Foundation,NORTHWEST COLLEGE-BEAVERTON,4200 SW WATSON AVE,OR,USA,WASHINGTON,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=209083,www.nwcollege.edu,13,Princeton University,North America
13,13.0,"Fang Liu, A. Jesse Gore, Julie L. Wilson, Murray Korc",DUSP1 Is a Novel Target for Enhancing Pancreatic Cancer Cell Sensitivity to Gemcitabine,"PLOS ONE, January 2014 | Volume 9 | Issue 1 | e84982",10.1371/journal.pone.0084982,2014.0,1-Jan,,,1.0,,"duplicated, and mirrored blots",1,9/15/2014,,1.0,,1.0,"Departments of Medicine, Biochemistry and Molecular Biology, Indiana University School of Medicine, The Melvin and Bren Simon Cancer Center and the Center for Pancreatic Cancer Research, Indianapolis, Indiana, United States of America",4.0,,,300.0,300.0,1.0,https://doi.org/10.1371/journal.pone.0261795,Single cell genome sequencing of laboratory mouse microbiota improves taxonomic and functional resolution of this model microbial community,"Lyalina, Svetlana; Stepanauskas, Ramunas; Wu, Frank; Sanjabi, Shomyseh; Pollard, Katherine S.",PLOS ONE,National Science Foundation,PHAGANS CENTRAL OREGON BEAUTY COLLEGE,1310 NE CUSHING DRIVE,OR,USA,DESCHUTES,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=209676,www.phagans-schools.com,14,Cornell University,North America
14,14.0,"Jagannath Misra, Dipanjan Chanda, Don-Kyu Kim, Seung-Rye Cho, Seung-Hoi Koo, Chul- Ho Lee, Sung Hoon Back, Hueng-Sik Choi",Orphan Nuclear Receptor Errc Induces C-Reactive Protein Gene Expression through Induction of ER-Bound Bzip Transmembrane Transcription Factor CREBH,"PLOS One, January 2014 | Volume 9 | Issue 1 | e86342",10.1371/journal.pone.0086342,2014.0,1-Jan,,1.0,,,duplicated (negative) western blot,1,5/6/2015,,1.0,,1.0,"National Creative Research Initiatives Center for Nuclear Receptor Signals, Hormone Research Center, School of Biological Sciences and Technology, Chonnam National University, Gwangju, Republic of Korea",8.0,,,0.909090909,10.0,11.0,https://doi.org/10.1371/journal. pone.0155001,Pain and Laboratory Animals: Publication Practices for Better Data Reproducibility and Better Animal Welfare,"Larry Carbone, Jamie Austin",PloS one,National Science Foundation,PHAGANS SCHOOL OF HAIR DESIGN,12000 SE 82ND AVENUE SUITE 4010,OR,USA,CLACKAMAS,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=209700,www.phagans.com,15,Yale University,North America
15,15.0,"Trent Fowler, Payel Ghatak, David H. Price, Ronald Conaway, Joan Conaway, Cheng-Ming Chiang, James E. Bradner, Ali Shilatifard, Ananda L. Roy",Regulation of MYC Expression and Differential JQ1 Sensitivity in Cancer Cells,"PLOS One, January 2014 | Volume 9 | Issue 1 | e87003",10.1371/journal.pone.0087003,2014.0,1-Jan,,,1.0,,"duplicated, and stretched blot",1,4/22/2015,,1.0,,1.0,"Department of Developmental, Molecular and Chemical Biology, Tufts University School of Medicine, Boston, Massachusetts, United States of America",9.0,,,0.526315789,10.0,19.0,https://doi.org/10.1371/journal.pone.0265009,"Novelty detection in early olfactory processing of the honey bee, Apis mellifera","Lei, Hong; Haney, Seth; Jernigan, Christopher M.; Guo, Xiaojiao; Cook, Chelsea N.; Bazhenov, Maxim; Smith, Brian H.",PLOS ONE,National Science Foundation,EMPIRE BEAUTY SCHOOL-POTTSVILLE,396 POTTSVILLE - ST. CLAIR HIGHWAY,PA,USA,SCHUYLKILL,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=212300,www.empire.edu,16,Columbia University,North America
16,16.0,"Mojca Jez, Sakthikumar Ambady, Olga Kashpur, Alexandra Grella, Christopher Malcuit, Lucy Vilner, Primoz Rozman, Tanja Dominko",Expression and Differentiation between OCT4A and Its Pseudogenes in Human ESCs and Differentiated Adult Somatic Cells,"PLOS One, February 2014 | Volume 9 | Issue 2 | e89546",10.1371/journal.pone.0089546,2014.0,2-Feb,1.0,,1.0,,"Duplicated, and shifted GAPDH gel panel",1,7/28/2014,,1.0,,1.0,"Blood Transfusion Centre of Slovenia, Ljubljana, Slovenia",8.0,PhD,,1.375,11.0,8.0,https://doi.org/10.1371/journal.pcbi.1009133,Ten simple rules for attending your first conference,"Leininger, Elizabeth; Shaw, Kelly; Moshiri, Niema; Neiles, Kelly; Onsongo, Getiria; Ritz, Anna",PLOS Computational Biology,National Science Foundation,NEW ENGLAND INSTITUTE OF TECHNOLOGY,ONE NEW ENGLAND TECH BOULEVARD,RI,USA,KENT,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=217305,www.neit.edu,17,Tsinghua University,Asia
17,17.0,"Zhenni Zhang, Jianrui Lv, Xiaoming Lei, Siyuan Li, Yong Zhang, Lihua Meng, Rongliang Xue, Zongfang Li",Baicalein Reduces the Invasion of Glioma Cells via Reducing the Activity of p38 Signaling Pathway,"PLOS One, February 2014 | Volume 9 | Issue 2 | e90318",10.1371/journal.pone.0090318,2014.0,2-Feb,,,1.0,,Mirrored blot panels representing different proteins,1,7/25/2016,1.0,,,1.0,"Anesthesia Department, the Second Affiliated Hospital, School of Medicine, Xi'an Jiaotong University, Xi'an, P. R. China",8.0,,,6.4,32.0,5.0,https://doi.org/10.1371/journal.pone.0260185,A dataset for the study of identity at scale: Annual Prevalence of American Twitter Users with specified Token in their Profile Bio 2015–2020,"Jones, Jason Jeffrey",PLOS ONE,National Science Foundation,CHATTANOOGA COLLEGE MEDICAL DENTAL AND TECHNICAL CAREERS,248 NORTHGATE MALL DRIVE,TN,USA,HAMILTON,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=220118,www.chattanoogacollege.edu,18,The University of Edinburgh,Europe
18,18.0,"Christophe Broca,  Elodie Varin, Mathieu Armanet, CÅ½cile Tourrel-Cuzin, Domenico Bosco,  StÅ½phane Dalle, Anne Wojtusciszyn",Proteasome Dysfunction Mediates High Glucose-Induced Apoptosis in Rodent Beta Cells and Human Islets,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92066",10.1371/journal.pone.0092066,2014.0,3-Mar,,,1.0,,duplicated/reused actin blot panels,1,7/7/2014,,1.0,,1.0,"CNRS UMR 5203, INSERM U661, and Montpellier 1 & 2 University, Institute of Functional Genomics, Montpellier, France",7.0,,,1.176470588,20.0,17.0,https://doi.org/10.1371/journal.pone.0268394,Uncovering in vivo biochemical patterns from time-series metabolic dynamics,"Wu, Yue; Judge, Michael T.; Edison, Arthur S.; Arnold, Jonathan",PLOS ONE,National Science Foundation,O'BRIENS AVEDA INSTITUTE,400 CORNERSTONE DR 220,VT,USA,CHITTENDEN,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=231004,www.obriensavedainstitute.org,19,University of Pennsylvania,North America
19,19.0,"Sylwia Flis, Agnieszka Gnyszka, Krzysztof Flis",DNA Methyltransferase Inhibitors Improve the Effect of Chemotherapeutic Agents in SW48 and HT-29 Colorectal Cancer Cells,"PLOS One, March 2014 | Volume 9 | Issue 3 | e92305",10.1371/journal.pone.0092305,2014.0,3-Mar,,,1.0,,Duplicated lanes within different panels - but representing same conditions,1,8/18/2014,,1.0,,1.0,"Department of Pharmacology, National Medicines Institute, Warsaw, Poland",3.0,PhD,,1.333333333,16.0,12.0,https://doi.org/10.1371/journal.pone.0267234,Challenges facing interdisciplinary researchers: Findings from a professional development workshop,"Daniel, Kristy L.; McConnell, Myra; Schuchardt, Anita; Peffer, Melanie E.",PLOS ONE,National Science Foundation,VERMONT STATE COLLEGES-OFFICE OF THE CHANCELLOR,"575 STONE CUTTERS WAY, SUITE 1",VT,USA,WASHINGTON,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=231156,www.vsc.edu,20,University of Michigan,North America
20,20.0,"Takaharu Nakayoshi, Ken-ichiro Sasaki, Hidemi Kajimoto, Hiroshi Koiwaya, Masanori Ohtsuka, Takafumi Ueno, Hidetoshi Chibana, Naoki Itaya, Masahiro Sasaki, Shinji Yokoyama, Yoshihiro Fukumoto, Tsutomu Imaizumi",FOXO4-Knockdown Suppresses Oxidative Stress-Induced Apoptosis of Early Pro-Angiogenic Cells and Augments Their Neovascularization Capacities in Ischemic Limbs,"PLOS ONE, March 2014 | Volume 9 | Issue 3 | e92626",10.1371/journal.pone.0092626,2014.0,3-Mar,,,1.0,,Mirrored microscopy image,1,4/27/2015,,1.0,,1.0,"Division of Cardio-Vascular Medicine, Department of Internal Medicine, Kurume University School of Medicine, Fukuoka, Japan",12.0,,,5.2,26.0,5.0,https://doi.org/null,Early photon optical tomography signal-to-noise ratio improved by almost two orders-of-magnitude by running in the “deadtime” regime,"Sinha, L.; Zhou, W.; Brankov, J.G.; Tichauer, K.M",World Molecular Imaging Congress 2017,National Science Foundation,SYLVAIN MELLOUL INTERNATIONAL HAIR ACADEMY,3405 CANDLERS MOUNTAIN RD. #G360,VA,USA,LYNCHBURG (CITY),https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=233286,smiha.edu,21,Johns Hopkins University,North America
21,21.0,"Yuri Churin, Martin Roderfeld, Johannes Stiefel, Tilman Wu r_ ger, Dirk Schro __ er, Tomomitsu Matono, Hans-Joachim Mollenkopf, Roberta Montalbano, Malvika Pompaiah, Kurt Reifenberg5, Daniel Zahner, Matthias Ocker, Wolfram Gerlich, Dieter Glebe, Elke Roeb",Pathological Impact of Hepatitis B Virus Surface Proteins on the Liver Is Associated with the Host Genetic Background,"PLOS One, March 2014 | Volume 9 | Issue 3 | e90608",10.1371/journal.pone.0090608,2014.0,3-Mar,1.0,1.0,,,"Duplicated actin blot panel but different experiments, cuts in panels",1,5/1/2015,,1.0,,1.0,"Department of Gastroenterology, Justus Liebig University, Giessen, Germany",15.0,Doctor of Philosophy,Philosophy,1.4,28.0,20.0,https://doi.org/10.1371/journal.pone.0263191,A darkening spring: How preexisting distrust shaped COVID-19 skepticism,"Priniski, J. Hunter; Holyoak, Keith J.",PLOS ONE,National Science Foundation,RALPH R WILLIS CAREER AND TECHNICAL CENTER,"144 VOCATIONAL ROAD, THREE MILE CURVE",WV,USA,LOGAN,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=237491,www.rrw.logancountyschoolswv.com/,22,EPFL - Ecole Polytechnique Federale de Lausanne,Europe
22,22.0,"Chuan Li, Cheng Wang, Lingxue Meng, Jiewen Xing, Tianya Wang, Hua Yang, Yingyin Yao, Huiru Peng, Zhaorong Hu, Qixin Sun, Zhongfu Ni",Ectopic Expression of a Maize Hybrid Down-Regulated Gene ZmARF25 Decreases Organ Size by Affecting Cellular Proliferation in Arabidopsis,"PLOS One, April 2014 | Volume 9 | Issue 4 | e94830",10.1371/journal.pone.0094830,2014.0,04April,,,,1,"Manipulated plant images, duplication of seeds, manipulated leaves",1,5/12/2016,1.0,,,1.0,"State Key Laboratory for Agrobiotechnology and Key Laboratory of Crop Heterosis and Utilization (MOE), Beijing Key Laboratory of Crop Genetic Improvement, China Agricultural University, Beijing, China",11.0,,,27.27272727,300.0,11.0,https://doi.org/10.1371/journal.pbio.3001585,Quantitative input–output dynamics of a c-di-GMP signal transduction cascade in Vibrio cholerae,"Bridges, Andrew A.; Prentice, Jojo A.; Fei, Chenyi; Wingreen, Ned S.; Bassler, Bonnie L.",PLOS Biology,National Science Foundation,WOOD COUNTY SCHOOL OF PRACTICAL NURSING,300 CAMPUS DRIVE,WV,USA,WOOD,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=238096,woodcountyschoolswv.com/WCT/Class/10452-Practical-Nursing,23,The University of Tokyo,Asia
23,23.0,"Gail Doughton, Jun Wei, Nicolas Tapon, Melanie J. Welham, Andrew D. Chalmers",Formation of a Polarised Primitive Endoderm Layer in Embryoid Bodies Requires Fgfr/ Erk Signalling,"PLOS One, April 2014 | Volume 9 | Issue 4 | e95434",10.1371/journal.pone.0095434,2014.0,04April,,,1.0,,"Duplicated compressed blots, overlapping microscopy",1,,,1.0,,1.0,"Department of Biology and Biochemistry and the Centre for Regenerative Medicine, University of Bath, Bath, United Kingdom",5.0,,,0.555555556,5.0,9.0,https://doi.org/null,Genomic analyses of new genes and their phenotypic effects reveal rapid evolution of essential functions in Drosophila development,"Xia, S; VanKuren, NW; Chen, C; Zhang, L; Kemkemer, C; Shao, Y; Jia, H; Lee, U; Advani, AS; Gschwend, A; Vibranovski, MD; Chen, S; Zhang, YE; Long, M.",PLOS genetics,National Science Foundation,DIESEL DRIVING ACADEMY-SHREVEPORT,3523 GREENWOOD ROAD,LA,USA,CADDO,https://nces.ed.gov/GLOBALLOCATOR/col_info_popup.asp?ID=260664,www.dda.edu,24,The Australian National University,Oceania
